Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
1936.0973019599915	0	-291.61198746871986	-14.734340200781077	44.41169846860515	-197.73557158823135	-404.5195436418592	20.0	0.0	252	2520	-293.1562871609441	-14.354026150939807
1943.7627820968628	1	-285.1436911031046	-14.64298321043678	51.670712346472484	-151.9936670458803	-460.7900226903131	20.0	0.0	252	5040	-277.97331843769103	-13.219444965428805
1947.5743861198425	2	-289.6708030697022	-15.001246497464495	42.36466582876479	-188.1217271957905	-385.2318081907428	20.0	0.0	252	7560	-279.021600143614	-14.275157606178787
1950.683031320572	3	-283.97309701699544	-14.424481735422777	44.37454753535399	-159.98992103073346	-440.96591931643655	20.0	0.0	252	10080	-262.808405580396	-11.826319292954828
1953.6823275089264	4	-280.7225681411344	-14.012273224704268	39.243706090027615	-126.19792017449168	-361.9637551628283	20.0	0.0	252	12600	-270.1778579985849	-12.276040638328007
1956.666000843048	5	-285.1588501972283	-14.279025545423167	36.938084472545995	-168.7879612796793	-370.1160340870845	20.0	0.0	252	15120	-288.0885473797586	-13.137197460578832
1959.6809186935425	6	-279.09064490038344	-13.531736695565995	40.099944478744405	-157.65768550463235	-369.4744119153292	20.0	0.0	252	17640	-271.1336390474408	-14.05023637852141
1962.651376247406	7	-280.56530468074317	-14.04095784034068	37.91130109383807	-160.107542066163	-388.10932114122215	20.0	0.0	252	20160	-261.7965572524849	-11.955597196032372
1966.2206356525421	8	-273.0683913106598	-13.371137216413167	38.142612453231806	-158.8133176006239	-359.07899909612195	20.0	0.0	252	22680	-263.9686925746395	-11.819123400695602
1969.5323584079742	9	-267.64843068585935	-12.71211670939014	36.16157270893474	-147.03640202835254	-339.08719759813914	20.0	0.0	252	25200	-271.6139210667797	-12.777426194119357
1972.4514689445496	10	-268.95237369547624	-12.783519455435222	38.75165346529626	-134.97999228353896	-339.3593406024915	20.0	0.0	252	27720	-261.4548271959044	-11.901098892410367
1975.4195306301117	11	-264.2172460343971	-12.521396207461114	43.34197728187134	-136.38379707510182	-348.0626884499417	20.0	0.0	252	30240	-245.51481786006923	-11.561835298980283
1978.4813024997711	12	-264.0309871386187	-12.308033427931319	41.12971129442844	-126.12354004272379	-365.60599851379607	20.0	0.0	252	32760	-273.9808614059751	-13.044636973135797
1981.4650104045868	13	-266.8527729290346	-12.738197275925563	42.81387983040259	-153.65971791833212	-450.01309393785493	20.0	0.0	252	35280	-243.48564339315695	-10.428426732095048
1984.4486801624298	14	-260.39638580448707	-11.716825748000712	54.71557773697002	-118.09423245420636	-378.4597985942638	20.0	0.0	252	37800	-270.35853720288486	-13.358576456043314
1987.4167466163635	15	-265.2343016453684	-12.51565786499121	50.443727098563336	-135.68182815434488	-448.8317840579242	20.0	0.0	252	40320	-263.1828026323449	-12.544101373566589
1990.3848028182983	16	-259.9896271134071	-12.007754563307008	47.829201981599645	-147.43649350564556	-406.8088408547933	20.0	0.0	252	42840	-249.92196952173103	-11.10731978591294
1993.3684306144714	17	-260.44586865189547	-12.527277494874232	47.81166542658141	-131.06856627090957	-413.60710740121397	20.0	0.0	252	45360	-282.94898497196226	-14.567490096408873
1996.3474032878876	18	-268.114084183926	-13.165495139611464	56.892575759831395	-130.87881727063316	-486.6179132839564	20.0	0.0	252	47880	-266.4378868072485	-12.776172893242874
1999.310909986496	19	-269.19921996261655	-13.132952121386696	51.61914531847095	-111.99597600830117	-363.63589078184066	20.0	0.0	252	50400	-274.83936968343954	-13.705294721525867
2002.2945878505707	20	-261.71390058239336	-13.497727009042428	49.47881891532032	-107.48636693790114	-378.28871675100675	20.0	0.0	252	52920	-257.6840311143846	-12.919955259871003
2005.4500932693481	21	-267.0549210386123	-13.070425754518313	58.36156413894921	-135.53036255605326	-535.0123025438373	20.0	0.0	252	55440	-271.72540532968003	-15.145549981650449
2008.4493896961212	22	-267.32697575302404	-13.375130229166313	54.679882230693934	-135.65663845243625	-467.6125087364932	20.0	0.0	252	57960	-276.9409749102478	-14.499848585739121
2011.4389007091522	23	-266.2734549612955	-12.93524603517415	50.57568519476409	-145.65591427190716	-375.0010900476351	20.0	0.0	252	60480	-272.45891987329196	-13.805652903141054
2014.4069533348083	24	-265.61554291613805	-12.813902702230212	57.03534412802893	-126.02290867335401	-459.4491799740148	20.0	0.0	252	63000	-246.45805995635124	-10.919103460959095
2017.3906879425049	25	-268.6645608979669	-12.987275988926305	53.73738949072322	-119.6279073448182	-446.4335706926523	20.0	0.0	252	65520	-264.9798189618743	-11.473403239522078
2020.4524111747742	26	-266.90771225288785	-12.94529940715164	50.45762021937238	-147.9452955374463	-396.40113132427274	20.0	0.0	252	68040	-289.3667146736511	-14.134361159670169
2023.4517056941986	27	-265.74895557566896	-12.78090909695549	50.80887310209921	-141.7428523534124	-405.3206860931233	20.0	0.0	252	70560	-252.5918484655191	-14.158406651398396
2026.4611926078796	28	-278.4379607662772	-14.512721934426937	51.91770688346905	-120.80746214585758	-381.4348724916898	20.0	0.0	252	73080	-263.98542210635264	-13.928778232949597
2029.4439589977264	29	-261.35593552871137	-12.867336540464638	51.245610705904106	-126.19565372207093	-388.37143989574713	20.0	0.0	252	75600	-274.76424891988125	-13.043696996197363
2032.3807380199432	30	-269.4091927979903	-13.049019306213635	49.40706842449234	-137.5985224196389	-422.44417305589815	20.0	0.0	252	78120	-254.8233000229899	-13.371193379507703
2035.3487904071808	31	-257.3750986173865	-12.95160308684638	56.12980317025448	-134.43792166398492	-378.51439356904746	20.0	0.0	252	80640	-282.2352926276172	-15.913505616454701
2038.3324670791626	32	-267.56056750885034	-13.561258282393824	47.463043196312945	-148.49286812104853	-393.11412994813816	20.0	0.0	252	83160	-271.98625798993015	-12.011195292922947
2041.3162055015564	33	-272.88897548217346	-13.669360508522345	48.92558576103355	-142.0798110735851	-479.6964805159604	20.0	0.0	252	85680	-264.8916894441618	-12.957480055671553
2044.4716536998749	34	-270.2370813310599	-13.545762911277174	46.37102701875627	-150.00601536836257	-367.5331280259608	20.0	0.0	252	88200	-240.52165799193003	-13.387226552588723
2047.5237934589386	35	-274.35204874260563	-14.076390988392374	52.555220885639294	-150.71612330154315	-475.21950537791884	20.0	0.0	252	90720	-287.5782942577406	-15.192808238655978
2050.494045972824	36	-269.8355751496161	-13.833050916210148	50.55410091843055	-153.22884396057913	-427.91180861698854	20.0	0.0	252	93240	-267.75515895393437	-14.57732837943542
2053.44647359848	37	-273.1878425710005	-14.214539183780733	41.01056129542765	-143.346776231497	-349.9548051313769	20.0	0.0	252	95760	-285.8197251863115	-14.015824942861224
2056.4145300388336	38	-264.96833669143314	-13.532509135028722	47.44850523578096	-147.50652188611534	-351.98401329948024	20.0	0.0	252	98280	-284.4063881924787	-14.407965096548127
2059.373468399048	39	-263.7555160955393	-13.9171242476001	43.771204227032136	-128.50294375954178	-365.4004439011288	20.0	0.0	252	100800	-265.55281307937935	-13.237185438189925
2062.372764110565	40	-267.9338417857494	-13.622275312049327	44.471957448234654	-145.8203871471949	-357.1934250189726	20.0	0.0	252	103320	-266.8016356808543	-14.669666849094902
2065.340818166733	41	-265.4849763073784	-13.936477558741734	44.26779261465035	-141.72117437329214	-390.1264964820264	20.0	0.0	252	105840	-276.3722092404055	-14.895425563952323
2068.3401124477386	42	-270.488307550681	-13.9526383715904	43.68482288023607	-146.67361652169984	-371.57536672704924	20.0	0.0	252	108360	-294.14760389128605	-14.07471174647604
2071.3237867355347	43	-272.06391203227633	-13.570621451071567	43.621748540430275	-146.44585431532664	-351.11231047027775	20.0	0.0	252	110880	-272.06055056313875	-14.332419521297858
2074.323086977005	44	-267.22535981563465	-13.800646107923852	46.08427709077684	-125.96702771752533	-353.86966043630133	20.0	0.0	252	113400	-277.82944069798174	-14.348377425020288
2077.291134119034	45	-265.617057715912	-13.800625201107282	44.73979610765607	-135.51045157994776	-336.0259383145315	20.0	0.0	252	115920	-263.0905422264273	-14.288826723454138
2080.2592532634735	46	-264.9887857986883	-13.861157603296677	45.072318821343686	-131.0459013994593	-347.5128432144897	20.0	0.0	252	118440	-266.08806346739556	-12.140125820502051
2083.195996761322	47	-261.36404707719436	-13.637375336507425	43.31217228697767	-132.91940014183086	-331.48527848310323	20.0	0.0	252	120960	-272.75741064632564	-14.65015959663907
2086.168087720871	48	-269.23992670773725	-14.041825149725886	38.55424229144197	-163.43836079322844	-327.4621207681748	20.0	0.0	252	123480	-253.40615431505907	-13.180515667151163
2089.100778579712	49	-269.5109946698838	-14.020290996784926	35.313263781274514	-143.9746270508099	-321.4384980361498	20.0	0.0	252	126000	-263.6250132858028	-13.67528563475561
2092.1899280548096	50	-275.1815258562446	-13.959597423545537	40.45408367878065	-117.54084048201697	-339.05927649310803	20.0	0.0	252	128520	-252.486830776576	-13.42312320487472
2095.204845190048	51	-274.7446564882714	-13.905537486588631	40.76441521814874	-129.13298009022057	-332.8141957382553	20.0	0.0	252	131040	-258.6079418865584	-13.745891109202146
2098.1728978157043	52	-265.62954986495436	-13.92748658950729	49.28566029534	-126.87469296367495	-326.69256198028427	20.0	0.0	252	133560	-252.05129850170093	-13.563241611924242
2101.1409499645233	53	-276.49048486121205	-14.111312756713948	41.82673814809955	-126.35698537082605	-336.44777411233076	20.0	0.0	252	136080	-270.4393605587378	-13.053256510629426
2104.171489715576	54	-272.3920844643377	-14.338271006488974	38.62905838494641	-141.12961886821827	-319.692623400292	20.0	0.0	252	138600	-265.9913167721202	-14.756341882260235
2107.1239206790924	55	-280.9670764859858	-14.474980855085521	33.9970034219093	-180.00356237927713	-327.342492855568	20.0	0.0	252	141120	-268.10256696555797	-13.71748313618847
2110.1075937747955	56	-271.8238930200283	-13.783753025477575	39.678418112270265	-148.0053361840146	-332.99113990729313	20.0	0.0	252	143640	-275.00277897482874	-14.562008166201963
2113.060028076172	57	-275.76082881557693	-13.901935562037462	35.3814675883109	-129.71410703836324	-322.1373479682351	20.0	0.0	252	146160	-269.9885385233068	-15.372383929634234
2116.0437004566193	58	-271.3835933049439	-14.028261066767659	39.839395353499526	-141.45404475308536	-321.50845262206434	20.0	0.0	252	148680	-263.0561219785587	-14.434502068977885
2119.2169013023376	59	-272.39261935976947	-13.929995465570073	37.39656199962592	-132.8749903020938	-317.8232377844094	20.0	0.0	252	151200	-269.8644638107262	-13.35144541307605
2122.150815010071	60	-275.4844751641142	-14.13441702249045	33.84556394027971	-142.3499137560017	-316.72311650274594	20.0	0.0	252	153720	-274.766965444958	-14.018562517958003
2125.1291959285736	61	-275.02962468292293	-13.964072486631471	32.594871080044406	-137.615367355606	-321.0991639414838	20.0	0.0	252	156240	-289.9143770352369	-15.34637321021433
2128.098149061203	62	-281.1041488681562	-14.229766106325245	24.4652180078802	-175.2363672491316	-315.1515463556486	20.0	0.0	252	158760	-288.9893360944992	-14.723958768705705
2131.0842168331146	63	-276.2496316402011	-14.153876787555195	34.20614486915824	-126.63211448596329	-318.83951911422287	20.0	0.0	252	161280	-286.67071120532984	-14.710923478780117
2134.0835337638855	64	-279.28590753109995	-14.033850142834275	30.48586028322764	-164.00513883924316	-343.7816671578127	20.0	0.0	252	163800	-273.6001592866398	-14.257176348168857
2137.082848548889	65	-278.3494194450821	-13.91300948575692	29.856830375749695	-133.98084762619354	-317.9565348082264	20.0	0.0	252	166320	-259.7389726137497	-13.506656475297296
2140.066547393799	66	-273.4184314856209	-13.717474073876264	31.830099277621937	-128.08932628750225	-311.9243097146736	20.0	0.0	252	168840	-273.24842895243665	-13.96534895731583
2143.7062532901764	67	-279.061643815736	-14.004776277485188	29.490932477325188	-147.4675884482719	-312.532099764288	20.0	0.0	252	171360	-276.78162026401884	-14.157049407672316
2147.0023562908173	68	-274.8984228928252	-13.773550269233583	32.34890124982403	-131.3730867644511	-317.1119092970899	20.0	0.0	252	173880	-271.4655721842831	-13.549685668066495
2149.9989066123962	69	-275.9062003676965	-13.87421548647134	30.88483814620111	-129.60712889738846	-314.25198943831947	20.0	0.0	252	176400	-285.41405693293757	-14.51610741738864
2153.1164054870605	70	-277.8133351776376	-13.811820580158797	22.511355394120574	-147.05969265451895	-309.356594977328	20.0	0.0	252	178920	-279.0277274681456	-13.749664959716513
2156.0821895599365	71	-281.2408529194918	-14.079856372974177	17.77644004016474	-246.4093533715779	-315.4996204231511	20.0	0.0	252	181440	-278.6550330574141	-13.577442125768192
2159.03461933136	72	-281.8902822618436	-14.238538033685336	25.09602845860093	-146.5024347691345	-314.62857163760157	20.0	0.0	252	183960	-285.94798648970317	-14.386314637441695
2162.016506433487	73	-280.5170917699426	-14.113334129808647	19.245810534572726	-159.717835635085	-312.4624081751724	20.0	0.0	252	186480	-279.90079088914473	-14.046196567314603
2165.0157985687256	74	-281.00861016864997	-14.030329788316427	15.490639111411175	-254.21187404829024	-309.96889180983914	20.0	0.0	252	189000	-279.9522449478631	-13.904608144248476
2167.9904477596283	75	-283.5157193991586	-14.253831968417904	16.64114517851955	-251.55849365252917	-313.0447904083041	20.0	0.0	252	191520	-288.7591630312299	-14.52142635571294
2170.9428787231445	76	-280.7805373492725	-13.982625898356865	16.171104262938453	-220.89509656457142	-311.42827920424253	20.0	0.0	252	194040	-283.86569194128845	-14.151192048262038
2173.9421758651733	77	-280.87265967704906	-14.087231892578428	15.76202883720008	-256.8317018563946	-308.7876853119124	20.0	0.0	252	196560	-281.6275132252342	-14.374005637892592
2176.9258468151093	78	-279.64368829901497	-13.997468032238121	16.280267365337032	-255.95658680897182	-309.4117724268116	20.0	0.0	252	199080	-277.3485514466875	-13.930725060607882
2179.9095232486725	79	-281.71320279816007	-14.11855775304794	16.35342712842866	-243.4384281231164	-312.00545671408713	20.0	0.0	252	201600	-277.5574768102591	-13.841686112859696
2182.9032864570618	80	-284.2312866753302	-14.259110188357676	16.009842128854686	-256.06060174748404	-309.6272336289985	20.0	0.0	252	204120	-287.8817948235662	-14.411335829977268
2186.252478837967	81	-281.7331925336764	-14.056776031841988	15.736520766868354	-237.81680280760813	-308.6863514325275	20.0	0.0	252	206640	-287.41008862368614	-14.38904398693573
2189.501716375351	82	-282.4933896938043	-14.120295684464914	15.855173283550432	-257.25183083493044	-307.53297133277744	20.0	0.0	252	209160	-297.3776734144023	-14.800002001863653
2192.4853904247284	83	-282.56601557050703	-14.142131917708431	15.281359273307125	-259.15039237425293	-308.6218307882121	20.0	0.0	252	211680	-285.15179645761526	-14.225705259383709
2195.4690675735474	84	-283.8784144175873	-14.216588404159541	15.087060663755778	-258.9718838601302	-307.75153894274825	20.0	0.0	252	214200	-282.6398857256251	-14.194161126621424
2198.4546377658844	85	-287.09615893246286	-14.436091279026304	13.590054838834655	-259.5131599569403	-305.93322845093667	20.0	0.0	252	216720	-281.28846017401685	-14.184453647208478
2201.578905105591	86	-282.0997091746934	-14.09658102771699	14.214381880640314	-260.30050613882594	-306.89587931351076	20.0	0.0	252	219240	-285.0222127228472	-14.28589724841998
2204.609441757202	87	-283.6575697141145	-14.30641056591901	15.310408408624122	-255.5566914996115	-306.46787113758353	20.0	0.0	252	221760	-282.1767720864116	-14.436162852154576
2207.5946605205536	88	-281.279668166109	-14.083401225953832	14.617024848363572	-260.7541264732303	-306.1143775378497	20.0	0.0	252	224280	-293.1111111736389	-14.682305456011697
2210.5939598083496	89	-281.86640965106585	-14.118685080577189	15.647852129829559	-260.36270470368515	-306.7003097563193	20.0	0.0	252	226800	-286.45303349983334	-14.313019309773894
2213.7769186496735	90	-282.69915686604656	-14.145795894906986	14.45535826746781	-261.6637992113702	-307.341642165252	20.0	0.0	252	229320	-281.2239546453805	-14.023355210759197
2216.764388561249	91	-284.3278636223898	-14.24278946908507	15.589189917893096	-260.8719693906524	-306.6788392066081	20.0	0.0	252	231840	-289.37581216874025	-14.529042524183055
2219.778638601303	92	-282.9790399021987	-14.255693727330181	14.210950785976298	-258.79062901460884	-306.2366812879917	20.0	0.0	252	234360	-279.5383352859022	-13.848033483515751
2222.7466876506805	93	-282.0371633464335	-14.133133560068067	14.890149491356778	-261.20813081640824	-316.5111961232442	20.0	0.0	252	236880	-285.5734140359387	-14.178931615205862
2225.7147760391235	94	-281.5610327814938	-14.108387691412284	14.275976444833464	-260.8392033974582	-306.53592413115734	20.0	0.0	252	239400	-282.9294250728156	-14.113279136071204
2228.6671714782715	95	-285.02281529717044	-14.281305263609532	13.59936865982238	-262.7234983115498	-304.7869520222852	20.0	0.0	252	241920	-278.5025948275646	-13.837851321960747
2231.666471004486	96	-282.5375643224751	-14.094123252498017	13.849725558407114	-261.230258868469	-305.23265809628657	20.0	0.0	252	244440	-279.688927217433	-13.870883211451263
2234.6813945770264	97	-284.15514506667813	-14.221339774564916	12.973116550332904	-261.6068977249654	-303.70125352279763	20.0	0.0	252	246960	-287.05403778418525	-14.399066543906372
2237.667169570923	98	-283.0181879761008	-14.169051417017254	13.840516771032098	-261.8593072869896	-305.42638998453174	20.0	0.0	252	249480	-284.9442951809581	-14.32233411934349
2240.6508798599243	99	-282.9201181275184	-14.140842054854062	13.806073509467172	-255.12501368173506	-307.4137836903017	20.0	0.0	252	252000	-287.5641602133457	-14.402890802630807
