iters,mean reward,std reward,pct full rollouts
1,-10.816898255333955,5.288789012532314,1.0
2,-9.478553923134651,4.076296196308265,1.0
3,-5.067638440620278,3.5143060543406355,1.0
4,-5.21425000427892,1.7342835789762931,1.0
5,-4.077427163287959,1.1829776711453561,1.0
6,-3.641094980566715,1.5659911724168285,1.0
7,-3.867876818304378,1.8914703589067825,1.0
8,-4.083491599472824,1.9085215480760578,1.0
9,-3.8847205079050715,1.4797100961190948,1.0
10,-4.031323881147619,1.464007348225262,1.0
11,-3.4191573845721344,1.701591659766368,1.0
12,-3.8364009178308707,1.3533878525103784,1.0
13,-3.2214810114883994,1.2920344818999425,1.0
14,-4.885280575664076,1.533950374346496,1.0
15,-4.568933768267597,1.418890456469404,1.0
16,-3.692550306105823,2.131054447715426,1.0
17,-4.4902670640235405,1.6002428446445127,1.0
18,-3.457984989837476,1.879903246416763,1.0
19,-3.8889651905606826,1.9260349963571766,1.0
20,-4.0004645610468925,1.5640593284721873,1.0
