iters,mean reward,std reward,pct full rollouts
0,256.4311613880067,26.48620528245513,0.900909090909091
1,408.6189499821626,126.48391188269939,0.6265486725663716
2,616.2502819821208,281.8270278276943,0.6137820512820513
3,1021.4301371075022,616.8741540189379,0.36523437499999994
4,2148.5264927757753,1124.365815102529,0.48896353166986567
5,3131.340196054728,2021.5722363812731,0.4590663058186738
6,8495.089886455065,3245.453198324094,0.84235
7,9488.9836012959,2489.0289479735525,0.9248999999999998
8,10382.130882078834,57.01729535898007,1.0
9,9893.108632918982,2128.6711292332266,0.9550000000000001
10,10404.440652428075,69.01911089818168,1.0
11,9944.080350977032,1948.6586875049559,0.95945
12,10397.018095996234,56.806156255515354,1.0
13,10411.633475163815,65.93899952035562,1.0
14,10411.749432750647,47.00805033358599,1.0
15,9939.211531198398,2138.17605031401,0.95495
16,10415.015501068821,41.094223809010394,1.0
17,10399.092440075206,47.78795949967018,1.0
18,10407.372814163067,50.64821369219959,1.0
19,10424.055846027208,53.397160083877786,1.0
