Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
2849.5028195381165	47	0.26633167	2.4006748	29.0	0.0	151.0	0.0	0.0017637858	0.0017637858	0.0017637858	0.0017637858	30049	1442352
2905.9739060401917	48	0.3919598	2.2810416	20.0	0.0	151.0	0.0	0.0025957602	0.0025957602	0.0025957602	0.0025957602	30049	1472401
2964.225833415985	49	0.63316584	3.0623517	22.0	0.0	151.0	0.0	0.0041931514	0.0041931514	0.0041931514	0.0041931514	30049	1502450
3021.290524482727	50	0.40201005	2.2638066	20.0	0.0	151.0	0.0	0.0026623183	0.0026623183	0.0026623183	0.0026623183	30049	1532499
3075.543384075165	51	1.040201	4.952883	53.0	0.0	151.0	0.0	0.006888748	0.006888748	0.006888748	0.006888748	30049	1562548
3134.7794466018677	52	1.522613	6.060685	32.0	0.0	151.0	0.0	0.01008353	0.01008353	0.01008353	0.01008353	30049	1592597
3193.2344427108765	53	0.65829146	3.1739864	28.0	0.0	151.0	0.0	0.004359546	0.004359546	0.004359546	0.004359546	30049	1622646
3250.9239933490753	54	0.8492462	3.5127027	24.0	0.0	151.0	0.0	0.005624147	0.005624147	0.005624147	0.005624147	30049	1652695
3312.8937907218933	55	0.8743719	3.8147159	29.0	0.0	151.0	0.0	0.0057905423	0.0057905423	0.0057905423	0.0057905423	30049	1682744
3378.5502161979675	56	0.71859294	3.2856019	22.0	0.0	151.0	0.0	0.004758894	0.004758894	0.004758894	0.004758894	30049	1712793
3440.5356302261353	57	1.1055276	5.004914	43.0	0.0	151.0	0.0	0.007321375	0.007321375	0.007321375	0.007321375	30049	1742842
3496.6005630493164	58	0.71859294	4.1831446	42.0	0.0	151.0	0.0	0.004758894	0.004758894	0.004758894	0.004758894	30049	1772891
3559.991898536682	59	0.6532663	3.853521	33.0	0.0	151.0	0.0	0.004326267	0.004326267	0.004326267	0.004326267	30049	1802940
3621.2118718624115	60	0.6482412	4.3729277	47.0	0.0	151.0	0.0	0.004292988	0.004292988	0.004292988	0.004292988	30049	1832989
3681.6135075092316	61	0.22110553	3.1112304	44.0	0.0	151.0	0.0	0.0014642751	0.0014642751	0.0014642751	0.0014642751	30049	1863038
3742.3179743289948	62	0.14070351	1.5852023	22.0	0.0	151.0	0.0	0.0009318114	0.0009318114	0.0009318114	0.0009318114	30049	1893087
3801.7727348804474	63	0.15075377	2.0514455	29.0	0.0	151.0	0.0	0.0009983693	0.0009983693	0.0009983693	0.0009983693	30049	1923136
3861.992942094803	64	0.2713568	3.818329	54.0	0.0	151.0	0.0	0.0017970648	0.0017970648	0.0017970648	0.0017970648	30049	1953185
3920.1042692661285	65	0.26130652	3.470198	49.0	0.0	151.0	0.0	0.0017305069	0.0017305069	0.0017305069	0.0017305069	30049	1983234
3978.8092064857483	66	0.22613065	2.7880075	39.0	0.0	151.0	0.0	0.001497554	0.001497554	0.001497554	0.001497554	30049	2013283
4037.2954471111298	67	0.37688443	3.7568924	41.0	0.0	151.0	0.0	0.0024959233	0.0024959233	0.0024959233	0.0024959233	30049	2043332
4095.0162405967712	68	0.025125628	0.35354894	5.0	0.0	151.0	0.0	0.0001663949	0.0001663949	0.0001663949	0.0001663949	30049	2073381
4153.955499172211	69	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	2103430
4213.254046916962	70	0.10050251	1.4141958	20.0	0.0	151.0	0.0	0.0006655796	0.0006655796	0.0006655796	0.0006655796	30049	2133479
4272.052713394165	71	0.06030151	0.84851736	12.0	0.0	151.0	0.0	0.00039934774	0.00039934774	0.00039934774	0.00039934774	30049	2163528
4331.116940736771	72	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	2193577
4392.818180799484	73	0.030150754	0.42425865	6.0	0.0	151.0	0.0	0.00019967387	0.00019967387	0.00019967387	0.00019967387	30049	2223626
4451.898028850555	74	0.13065326	1.3005661	14.0	0.0	151.0	0.0	0.00086525345	0.00086525345	0.00086525345	0.00086525345	30049	2253675
4511.680838346481	75	0.12562814	1.7677451	25.0	0.0	151.0	0.0	0.00083197444	0.00083197444	0.00083197444	0.00083197444	30049	2283724
