Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
7.941424131393433	0	-174.55754615936252	-9.47084218175828	64.55698659922399	-35.565449296546056	-345.7870673323491	20.0	0.0	252	10080	-130.00242664732363	-7.846639462769457
16.81462597846985	1	-170.87258834999741	-9.380143900256456	65.15029324041322	-30.709602667111028	-360.0406620690767	20.0	0.0	252	20160	-141.20388314834165	-7.890280158714348
22.84436535835266	2	-175.7636809345818	-9.63497024305869	67.82085234051823	-33.240721704664	-367.2726111155076	20.0	0.0	252	30240	-146.7764953191626	-8.145977369899056
28.89924168586731	3	-171.94765683953912	-9.402625681254351	64.88243272915449	-32.18611666233199	-337.30335097675044	20.0	0.0	252	40320	-147.87260356595547	-8.017879028206119
34.53217577934265	4	-168.00592285564719	-9.023152423460028	61.267610579681474	-24.099354653755267	-358.80967107250666	20.0	0.0	252	50400	-126.9103755529715	-6.924459944864073
40.294872999191284	5	-164.07179859547398	-8.794849493702948	62.31565103291046	-29.31245626058697	-335.7189116502977	20.0	0.0	252	60480	-138.89142753703626	-7.8937499721022
46.246477127075195	6	-168.40489812404232	-8.834713502792189	61.93790444065351	-7.872281239794718	-339.99846621859325	19.970833333333335	0.638343668323646	252	70560	-142.46085043665667	-7.364343986450951
51.89371132850647	7	-159.1480496431145	-8.296755063448053	58.169471160571426	-27.227563701760925	-319.0874563960379	20.0	0.0	252	80640	-132.5284834616863	-6.987941788817856
57.4533326625824	8	-162.55323702870422	-8.336721881520749	57.180927471226866	-16.30909549356936	-292.43462569368	20.0	0.0	252	90720	-126.45628714167242	-6.476082557737381
63.09478807449341	9	-158.19579112551338	-8.105924261145736	56.159140615376444	-28.17322659278846	-301.8249263313015	20.0	0.0	252	100800	-125.72121525685789	-6.835424307880267
69.07178902626038	10	-167.05091182151244	-8.545962843683519	58.93589157495268	-16.8628491618599	-286.217484126439	20.0	0.0	252	110880	-123.91732584765471	-6.549094975626996
74.78104543685913	11	-167.92967532272965	-8.592981805692258	56.45652384773044	-20.467196336787644	-315.47063239816634	20.0	0.0	252	120960	-125.94334757233504	-6.493060627930525
81.02671480178833	12	-157.46806872369174	-7.957349796809952	57.344759518006946	-17.2231511810427	-286.29137192213824	20.0	0.0	252	131040	-123.67989046140777	-6.546850078177653
87.98565983772278	13	-161.33101958744248	-8.204991129785606	55.339133344992824	-22.43543874406238	-295.3792571689918	20.0	0.0	252	141120	-131.70076202079383	-6.866483023495175
93.82667422294617	14	-156.8967752807486	-7.895984235273935	57.834579366441154	-19.51896260729257	-271.85999564975043	20.0	0.0	252	151200	-132.37393715724178	-6.7716576467916
99.62618613243103	15	-154.8561840262564	-7.835595014284631	57.816870028285415	-15.36996582603892	-281.95830689769093	20.0	0.0	252	161280	-124.30612050630656	-6.4688777746769945
104.84529852867126	16	-159.4866888842554	-8.000283160848019	61.0376874170409	-10.692131664037522	-297.93981853841865	20.0	0.0	252	171360	-128.87141345035502	-6.425566131785793
110.7757339477539	17	-156.33372384589114	-7.939399344789512	59.122101954109894	-13.27356769594467	-286.23793728097263	20.0	0.0	252	181440	-123.63320730167361	-6.305716067883612
116.1903326511383	18	-160.89967629421642	-8.100861023298485	56.4222843063819	-18.94618554675277	-288.99669013788207	20.0	0.0	252	191520	-108.30618736105123	-5.371471669871242
123.04126930236816	19	-161.67839135074263	-8.15086504324315	58.268256990099	-6.768353363295637	-284.7221415759657	20.0	0.0	252	201600	-130.74760483803888	-6.600822865843507
128.7705202102661	20	-164.20466554204734	-8.292883706766064	58.276077656318286	-14.058260690514928	-288.4742429880186	20.0	0.0	252	211680	-135.33824600008674	-6.803907100564248
134.47817945480347	21	-158.67146009055094	-7.9792280338520225	57.1126222809328	-19.474665800763347	-275.1415673600055	20.0	0.0	252	221760	-128.958338455799	-6.459703482109155
140.11210346221924	22	-160.4355171479496	-8.094584368349734	55.545446223606774	-19.11783797200547	-270.37145768742823	20.0	0.0	252	231840	-131.57493178210572	-6.585946360281544
145.80509781837463	23	-162.44948957993526	-8.142043999953216	55.0287615117261	-13.476758503103182	-283.59795975214087	20.0	0.0	252	241920	-116.39883902723034	-5.812777243150009
151.34282064437866	24	-159.39098848617684	-8.055840227565492	58.62982716322263	-10.01295258709514	-276.58066787550985	20.0	0.0	252	252000	-125.5404121325853	-6.3263691244431355
156.81844305992126	25	-159.60225925441046	-8.030937516225702	58.53799438715641	-16.295784237523577	-299.15794052640433	20.0	0.0	252	262080	-102.20653484938032	-5.08496208556767
162.5367889404297	26	-160.23423977162244	-8.080202326490937	55.84295552699237	-6.065068844869141	-281.5993899254314	20.0	0.0	252	272160	-107.00323815202903	-5.2540114937125955
168.04941987991333	27	-155.65054120107922	-7.806424206590657	58.73998928298536	-7.958839108061484	-268.98421761921156	20.0	0.0	252	282240	-117.2854430607217	-5.921032600499878
173.30143642425537	28	-157.5625415178273	-7.92508663526151	56.384482353563286	-12.83441309484799	-290.88514322734284	20.0	0.0	252	292320	-131.68412148682467	-6.60162463903448
179.0194957256317	29	-162.48555084990087	-8.173329104913853	53.78750305009425	-14.055710198690598	-281.8155497327271	20.0	0.0	252	302400	-126.29961177835109	-6.326874372636108
186.68442058563232	30	-161.64282294381792	-8.067537580983151	56.052728643290585	-5.006800579563875	-287.83087439133055	20.0	0.0	252	312480	-121.31853228508145	-6.086171192138998
