iters,mean reward,std reward,pct full rollouts
0,349.2225047402206,333.7031983017693,1.0
1,-16.929892835172602,114.08149556837094,1.0
2,952.2906816829114,785.212550010338,1.0
3,3841.5387413988065,90.98208991238164,1.0
4,4070.5088301590717,100.40280669285694,1.0
5,4123.313661748639,78.1924628055573,1.0
6,4148.574951532292,67.81344797898474,1.0
7,4190.343885774846,72.28198577220066,1.0
8,4115.702205582178,94.9975211048145,1.0
9,4146.327329134703,77.92216635180637,1.0
10,4128.779001371319,77.4055562174953,1.0
11,4154.591894209951,55.91972945912918,1.0
12,4137.811172628468,96.42147289096573,1.0
13,4171.565984648676,53.28030153978413,1.0
14,4171.447863750965,58.80227803145207,1.0
15,4141.938389124442,86.60546224284404,1.0
16,4120.029505141919,79.24752337026752,1.0
17,4100.644547179117,77.32643638895274,1.0
18,4157.065799319101,73.95395887146644,1.0
19,4151.171660471895,101.4586947998172,1.0
