iters,mean reward,std reward,pct full rollouts
0,906.7275344182757,509.9645640230438,0.87355
1,3966.2994484771384,533.7214033003763,0.97
2,4436.800558846038,539.655641275067,0.97355
3,4484.051924362545,689.8598390948482,0.96645
4,4562.794259126778,579.8331678365792,0.9715
5,4714.528502881882,167.10303790322072,1.0
6,4781.161560233367,100.83702131667373,1.0
7,4757.9287650905,101.28839253506645,1.0
8,4735.32203589607,131.77463634454904,1.0
9,4804.583356353645,125.28026086112489,1.0
10,4730.776903550174,436.2498900737969,0.9817499999999999
11,4843.833318578649,88.50769254888424,1.0
12,4818.148560810631,121.99207472667278,1.0
13,4802.0935831195075,107.65754699937769,1.0
14,4785.551509358755,88.42630902899877,1.0
15,4654.8534765856,623.163580326629,0.9720000000000001
16,4840.182135885502,86.32243763628989,1.0
17,4625.958690029956,758.8000938845421,1.0
18,4677.100901230874,721.6358530468094,0.9666499999999999
19,4844.980401299405,85.0058576348885,1.0
