iters,mean reward,std reward,pct full rollouts
1,-9.775121479945822,3.6401730305519258,1.0
2,-7.796111787586402,4.118494630672724,1.0
3,-5.468946568288606,1.9825040084581695,1.0
4,-4.707523541916796,2.083741246810517,1.0
5,-4.515987063519569,1.6175651358361152,1.0
6,-4.233424762359846,1.8021967397456933,1.0
7,-4.286178962402313,2.2923832423512134,1.0
8,-3.9253073515260803,1.853697341299025,1.0
9,-4.534055044886863,1.9326543658031137,1.0
10,-3.8297351578485035,1.5354599343440283,1.0
11,-4.009805739731898,1.901264742634375,1.0
12,-4.497934046183334,1.7905549726066112,1.0
13,-4.0674769592144955,1.5219696572434356,1.0
14,-3.900563346155677,1.7532556429152948,1.0
15,-3.4617712673474785,1.7772381678341536,1.0
16,-4.215333121544202,1.5232766306799117,1.0
17,-3.7011206523306988,1.4654786260215917,1.0
18,-3.505851321204221,1.5823785200942246,1.0
19,-3.4953875896886175,2.1786201256019506,1.0
20,-3.960561970759435,1.3545717132831734,1.0
21,-4.217775527687715,1.5868208985805652,1.0
22,-3.834020627720166,1.877795163457232,1.0
23,-3.816838110424031,1.7909888248169616,1.0
24,-3.9805039599668994,1.5507310506991916,1.0
25,-4.2390332050603785,1.6899220795584002,1.0
26,-4.019004257825834,1.6589272162172821,1.0
27,-4.188884395398814,1.7604154912970007,1.0
28,-4.404514382470795,1.4947551620494057,1.0
29,-4.00325320406053,1.5643136433063478,1.0
30,-4.096443896427659,2.245143615187436,1.0
31,-4.357133442777865,1.5031766648952372,1.0
32,-4.02054283817873,1.5123581685443825,1.0
33,-4.140806161761525,2.2583567012437475,1.0
34,-4.021813986948556,1.3958722345347503,1.0
35,-4.021405664032075,1.7187358879239276,1.0
36,-3.629992469538844,1.4454922035373474,1.0
37,-3.6994488796025564,1.3299235749393787,1.0
38,-3.973867513056626,1.1786475226958635,1.0
39,-3.9731105329013223,1.5029652545600196,1.0
40,-4.110544199138435,1.7240357787888219,1.0
41,-4.078313991605312,1.7163953758632207,1.0
42,-3.5993675983680498,1.4068462503279202,1.0
43,-4.017263193799917,1.6321601744961374,1.0
44,-4.297469271389453,1.81451666396776,1.0
45,-4.234941113093397,2.0285499452414895,1.0
46,-3.947213170526088,1.6934549470458844,1.0
47,-3.1436014996955217,1.3246146676825978,1.0
48,-3.9521135031507497,2.0536718607559314,1.0
49,-3.7126231092689688,1.3555042650294906,1.0
50,-3.495139181896243,1.7500703285480252,1.0
