iters,mean reward,std reward,pct full steps
0,235.2607161744444,54.5526326770282,0.5258620689655172
1,246.60657343189354,20.489400358414976,0.8381355932203391
2,462.10061827784176,186.8332450268863,0.4360215053763441
3,458.7653757733052,145.92249543360913,0.6593220338983051
4,1038.0989141116856,540.599574258891,0.5035593220338982
5,834.5973703765378,388.5286765531831,0.5648584905660378
6,1146.6814639239697,474.52649056924747,0.5884169884169884
7,1922.8199877636198,967.6175687256974,0.4957700650759219
8,3105.7819305292496,1845.6256306996647,0.4146739130434782
9,2651.3632599009907,1801.5955756925591,0.3868627450980392
