iters,mean reward,std reward,pct full steps
0,-169.1084237594887,191.14151046285897,0.9507999999999999
1,812.408369009979,338.94597381333045,1.0
2,3676.075882361221,828.9947883016782,0.94475
3,4160.767028888549,782.1857092600638,0.9605
4,4480.9703585950465,125.22903558672138,1.0
5,4371.290051567439,780.7592548619202,0.9390499999999999
6,4719.727778503571,115.37204888202892,1.0
7,4743.841779674948,87.55045299822052,1.0
8,4689.382139614647,407.533058343238,0.9814499999999999
9,4753.540878173037,253.07978991975057,0.9898
