iters,mean reward,std reward,pct full steps
0,481.75955906930284,158.58140531367417,0.6356951871657754
1,1033.0774659837869,0.7417245189631836,1.0
2,23.53128273027874,12.756906502857284,0.8444444444444443
3,293.6347281002104,352.2043066535549,0.41640316205533595
4,544.332516514255,340.17898449867465,0.5809121621621621
5,1454.9407688670017,387.60754853393615,0.7670329670329671
6,3827.574489741112,1836.8550462185035,0.7523
7,4759.382944673844,1431.746852812752,0.9026500000000001
8,5423.327401208825,74.26083644165739,1.0
9,5465.792041926824,53.78945078726732,1.0
