iters,mean reward,std reward,pct full steps
0,413.94860549512623,58.813162253987436,0.8662983425414363
1,266.21578884248703,1.998219708235635,0.9906779661016948
2,590.3871935901009,8.339449605271398,0.9738341968911917
3,677.9756717779229,9.487254181325328,0.9845070422535211
4,795.6138097001482,39.7772692609041,0.8818867924528302
5,1178.512320677583,76.73787308386918,0.8528497409326425
6,911.2538599581128,77.91534373166199,0.9694352159468439
7,2300.489496937413,719.8622280689332,0.68535
8,2783.465267635322,906.0077471348789,0.7402
9,3655.125155397295,380.60844304274434,0.9686
