iters,mean reward,std reward,pct full rollouts
1,2601.7272053215956,2222.9713670976225,0.30725635593220335
2,7134.504599523187,3915.9476013702374,0.7041999999999999
3,9954.789219745851,2005.760929956526,0.9580500000000001
4,10389.58821504886,56.24991874010002,1.0
5,9945.619763023504,1906.4935548940514,0.96035
6,10396.971866230477,40.3857845088757,1.0
7,10420.920164255094,66.15190975944799,1.0
8,10388.068593601727,42.99364556735438,1.0
9,10378.894449527566,50.66198172318169,1.0
10,10425.149854206928,58.49822347550651,1.0
11,10436.769209747177,61.02520252774791,1.0
12,10412.049407752615,66.87494936146054,1.0
13,10395.372227529686,43.159622692510396,1.0
14,10403.325639174329,42.01617018672056,1.0
15,10361.127328854049,48.408519290817814,1.0
16,10397.228544481819,41.098564258596035,1.0
17,10391.280754316253,72.64633016677016,1.0
18,10395.0600490239,54.1588254730236,1.0
19,9928.529012272356,2215.584915635152,0.9526
20,10386.49355942032,48.90910399654424,1.0
21,10425.232915183162,59.24482496851104,1.0
22,10374.442533634416,60.515041937595775,1.0
23,10391.450083322732,41.15911218518878,1.0
24,10416.559056750591,33.565945065497424,1.0
25,9893.811167527518,2072.5226752542944,0.9562000000000002
26,10409.787451390479,59.26568253401495,1.0
27,10393.00308817295,48.03344906432695,1.0
28,10401.892645282564,50.723562833609904,1.0
29,9912.341534184648,2118.8387330688033,0.9553
30,9954.492854047288,1971.3911850047054,0.9593
31,10407.482727111186,49.82760965541071,1.0
32,10386.201351897267,58.955056745459956,1.0
33,10410.153263838027,44.084887506710295,1.0
34,10399.424587719108,51.7606143035853,1.0
35,10404.516366067324,62.72310466120628,1.0
36,10446.121968345358,55.27575562428834,1.0
37,10416.119992699476,39.456115993942646,1.0
38,10398.784101145538,43.734705486114045,1.0
39,10412.241966869346,49.73426700966842,1.0
40,10413.531257829633,50.86705054190437,1.0
41,9930.953297772037,2014.9255142739069,0.9581500000000001
42,9906.698892037613,2201.004533830051,0.9529500000000001
43,10377.435276511711,82.11068338472079,1.0
44,10367.411425743512,86.40266450892192,1.0
45,10368.28766004282,75.84591496257077,1.0
46,10388.122167012576,35.63565043214851,1.0
47,9887.54821456601,2175.9918560462966,0.9534499999999999
48,10385.819340130056,40.82588186981113,1.0
49,10401.773333014651,54.446279792545496,1.0
50,10386.145077024714,44.254132331116885,1.0
