iters,mean reward,std reward,pct full rollouts
0,312.24836766776656,2.354907642010271,0.9850746268656716
1,1132.822759776331,53.974255796124375,0.9195652173913043
2,3775.527280066054,4.294735112613117,1.0
3,3777.960732132365,4.284868128292024,1.0
4,3776.932026706476,3.1840774120180693,1.0
5,3777.770689907332,4.382696116534025,1.0
6,3779.454468288409,4.758526444109206,1.0
7,3780.6707083843294,3.54681317399653,1.0
8,3780.3104374696086,3.74033142050787,1.0
9,3776.3791380101393,3.116617080967994,1.0
10,3779.9976266507047,4.390340008002469,1.0
11,3778.687609663712,3.0117853606050153,1.0
12,3777.379740451677,4.337681202290444,1.0
13,3777.391723482417,3.4033327968595004,1.0
14,3777.9948244063344,4.159025537247802,1.0
15,3779.0924616655197,2.641881414461371,1.0
16,3779.2328939956324,3.178794313517896,1.0
17,3778.0392853415483,3.6857144902336887,1.0
18,3777.6554797960816,2.9065801184429896,1.0
19,3776.8702598346367,3.1941862513648327,1.0
