iters,mean reward,std reward,pct full rollouts
0,2337.381276932322,1297.1969801522373,0.48205
1,5493.893642965357,32.01869855308072,1.0
2,5410.634144487463,522.0034439991312,0.9814499999999999
3,5520.1147088389525,91.9140370256924,1.0
4,5512.3344736319195,55.00835984927073,1.0
5,5490.6790666838,100.5712593970661,1.0
6,5507.520461182581,104.82942323758705,1.0
7,5512.641203479801,47.46067389996402,1.0
8,5415.279462147882,364.9416299158872,0.98895
9,5549.063180146924,47.75827951264975,1.0
10,5469.162035950481,108.0138113442719,1.0
11,5513.842067941702,52.97939693253997,1.0
12,5524.74368209063,43.58027776159693,1.0
13,5516.0236670577115,44.44187081556322,1.0
14,5527.03423811456,52.261284272866014,1.0
15,5483.274447217539,55.497163074772146,1.0
16,5504.896413217297,46.96820824598506,1.0
17,5461.8219334731075,89.40072344240203,1.0
18,5512.944208585772,54.05828658954509,1.0
19,5532.607131511888,72.40410658148906,1.0
