#,learning rate,BC mean reward,BC std reward,expert mean reward,expert std reward
6,1e-06,-149.14120741901144,30.570853528260198,-3.6712248091441024,1.952571258930916
8,3.2e-06,-28.527748062720764,12.157788477814245,-3.526507022485643,1.921565769523536
5,1e-05,-79.09154243196177,23.222105780311715,-3.633682989600412,1.3628834440340714
7,3.2e-05,-18.140724665023566,3.2026923727401746,-4.661485543584566,1.3743738719794454
0,0.0001,-17.907924738138004,7.217406918106517,-4.446426025114809,1.7877241482071422
1,0.00032,-12.386055377268086,5.392696443382713,-4.204935305010748,1.751308840193366
2,0.001,-13.669586016025825,4.551192186608644,-3.651723987994932,1.7692092613377597
3,0.0032,-10.165048133756061,4.895529921347818,-4.097547296484715,1.7797443698955262
4,0.01,-9.468789933249642,3.7432745337691222,-3.803155062593957,1.7104885699191437
