iters,mean reward,std reward,pct full rollouts
1,2077.5270291889465,1260.7769188860884,0.42123050259965344
2,9972.365638596868,1548.3560826890491,0.9646500000000001
3,10171.140694301186,985.1565860724829,0.9797499999999999
4,8235.181713166468,3669.6852354249513,0.8021499999999999
5,10423.620056603158,42.157509953224,1.0
6,10385.295181728758,65.81190150960076,1.0
7,9930.301368053117,2099.712078322186,0.95595
8,10397.28458469332,52.94892143652547,1.0
9,10405.691070306693,40.197969668203065,1.0
10,10396.594839447143,61.72511842276243,1.0
11,9944.131487509636,2008.5660719606065,0.9583
12,10418.412202545225,48.96901112063573,1.0
13,10410.894831445066,40.14359574143224,1.0
14,10370.77541974204,54.87490831325488,1.0
15,10417.407072211823,54.98478557263452,1.0
16,10395.793571653294,78.876580927041,1.0
17,10395.291752549361,47.21674359219638,1.0
18,10395.323142387855,54.87398947895734,1.0
19,10384.940069839366,53.879997636910794,1.0
20,10357.554086580023,45.219459479835685,1.0
21,10418.175308347576,54.31622371388273,1.0
22,10411.835468427114,51.219406466479775,1.0
23,9940.449418711187,2042.4669147643096,0.9573
24,10415.26640080479,43.696397210959724,1.0
25,10402.758330820367,35.71250032423886,1.0
26,10399.142148433539,54.15618639152917,1.0
27,10387.058919657988,50.054223431971295,1.0
28,10395.79712120668,51.66256405575025,1.0
29,10385.151519929506,58.76883648767501,1.0
30,10404.715310640218,53.29969216906224,1.0
31,10374.750636774595,81.5575081613042,1.0
32,10416.22417724446,44.29197432979253,1.0
33,9895.050516128398,2134.4078297457277,0.9547000000000001
34,10368.607455144225,215.41122981522872,0.99605
35,9947.412690181704,2051.402547728905,0.9572499999999999
36,10379.584522603105,48.22812413814211,1.0
37,10414.162554897743,81.55949075908455,1.0
38,9930.694898054375,1985.0179433759254,0.95855
39,10396.728443946307,62.65497345975577,1.0
40,10395.923526302311,63.49436573857446,1.0
41,10375.178821973594,53.6394339713967,1.0
42,10378.522413408853,58.28136909296219,1.0
43,10368.986548466424,75.0416375345339,1.0
44,10443.50823282273,45.29978814640036,1.0
45,10432.898429520626,59.06468136259534,1.0
46,10401.906326153146,94.2421040135036,1.0
47,10387.594051299231,57.35212771340488,1.0
48,10416.007692996824,54.72523566115415,1.0
49,10405.638700987509,54.025962644199716,1.0
50,10384.388364066719,53.767868433679396,1.0
