iters,mean reward,std reward,pct full rollouts
1,535.5080396580195,253.6438903779522,0.4604477611940297
2,2608.113471020866,344.652229061572,0.8072183098591548
3,3775.2834695111533,2.680947786852248,1.0
4,3777.4973792864707,3.3526464595475596,1.0
5,3778.245971096083,4.900658266072395,1.0
6,3777.513797817326,3.2833513865812645,1.0
7,3777.2006842532073,3.6760471490972506,1.0
8,3778.2913793229504,4.141123221067932,1.0
9,3776.2431939458497,2.599156609079026,1.0
10,3779.722769541426,3.83493819988829,1.0
11,3778.2389781202155,4.2403327514841855,1.0
12,3779.1612103468497,2.846207836006885,1.0
13,3777.009590376657,3.7778121023779807,1.0
14,3778.7913777765307,3.179869735003065,1.0
15,3776.7048203530385,3.4064968025137983,1.0
16,3779.9489977039316,2.9564105102521214,1.0
17,3777.797371793543,4.181442162761039,1.0
18,3778.201397378421,3.0936294189504085,1.0
19,3777.604017879111,3.055578054095228,1.0
20,3778.5153178176406,4.184531798290683,1.0
21,3778.7579948193115,2.8947402539109763,1.0
22,3777.901386719077,4.416611855254944,1.0
23,3778.484806102338,3.7392558547297923,1.0
24,3778.134657963876,3.135768007412184,1.0
25,3777.728610213538,3.1226033420817534,1.0
26,3778.4789214299226,3.084129340519487,1.0
27,3779.059064449563,3.0317743555482872,1.0
28,3779.2159743751945,3.203425647910937,1.0
29,3777.213459193948,2.4202650514090878,1.0
30,3777.698279195596,4.68462605467351,1.0
31,3777.7029903656758,4.159524247854095,1.0
32,3778.2789069589153,3.6378072143290443,1.0
33,3777.5731440737545,2.4019571002064324,1.0
34,3779.455775316647,3.2004700860196653,1.0
35,3776.3468789265694,4.122803879527367,1.0
36,3779.516664455326,3.4538368107031534,1.0
37,3778.493285116284,4.506384947112995,1.0
38,3778.640915383122,3.6248314652229903,1.0
39,3778.0268131914236,3.2596311129516606,1.0
40,3777.4955796912664,3.9544430765068244,1.0
41,3780.564889619048,3.8032044917436303,1.0
42,3778.7142099960956,3.302480402384911,1.0
43,3778.653440700452,3.4219451550394147,1.0
44,3779.554494405579,3.1238053370216052,1.0
45,3776.547119984126,4.029547041999624,1.0
46,3778.723273998162,3.7764305071896533,1.0
47,3777.926421311228,4.035346313641301,1.0
48,3779.220446181348,4.33045561944992,1.0
49,3775.9214676108413,3.9031928747578593,1.0
50,3777.228328997969,3.6337655473318917,1.0
