iters,mean reward,std reward,pct full rollouts
1,441.9150864253185,61.92609394710947,0.8895833333333334
2,5121.181701027663,1011.9563184946726,0.9385
3,5466.952973826387,62.125206952551274,1.0
4,5477.902959879134,110.18981338241116,1.0
5,5539.519647156286,47.65051593605889,1.0
6,5523.318735790753,52.77314943824066,1.0
7,5427.593120257555,48.42147300049289,1.0
8,5496.874908629094,51.690257119045924,1.0
9,5517.805200642304,50.302617749184044,1.0
10,5516.229233659995,58.10142948210635,1.0
11,5468.736461884067,101.62516732929267,1.0
12,5461.7553417381905,95.63553637869141,1.0
13,5512.1420132549365,92.94261380206699,1.0
14,5495.37392564213,90.49774212639392,1.0
15,5301.636898133673,760.6707615675331,0.9717500000000001
16,5415.9270250598565,453.57267006028815,0.98475
17,5506.716482915883,199.18826443149496,0.99655
18,5504.494603687248,79.04117765135247,1.0
19,5305.482918467193,576.8186237628403,0.9737500000000001
20,5504.971249970218,56.3846441326403,1.0
21,5519.693275548914,53.876258989482224,1.0
22,5498.866285530375,81.61827185596592,1.0
23,5499.019082016168,38.15193079350827,1.0
24,5529.825683713338,46.991882764081026,1.0
25,5522.922892014729,46.424555713393296,1.0
26,5514.776980212326,66.17171916860569,1.0
27,5502.512042695047,98.21450483472518,1.0
28,5549.729730683109,34.98582089587771,1.0
29,5503.71078988069,39.93773715581807,1.0
30,5516.826487225935,42.702848388044266,1.0
31,5544.713668835636,46.65340933069077,1.0
32,5533.798763699965,38.39258439781073,1.0
33,5517.693884863371,57.38189773168592,1.0
34,5526.749680889416,53.953852347137094,1.0
35,5537.893018423343,38.125527670875016,1.0
36,5523.956836815117,42.88353752373108,1.0
37,5500.96074061827,83.81920515850233,1.0
38,5523.4111408029585,56.18561111408771,1.0
39,5510.958913074775,49.31199067672877,1.0
40,5525.802154636703,54.04997998040875,1.0
41,5496.783309769848,53.710725119649894,1.0
42,5518.6249750817915,31.414767004067052,1.0
43,5515.152423829853,46.94692636872964,1.0
44,5533.785357651752,36.61947035793023,1.0
45,5451.4024577456785,246.32882324555953,0.99365
46,5523.327715503915,53.244890351802155,1.0
47,5523.2888091473405,63.57821672359923,1.0
48,5516.3665273245715,48.53980516918151,1.0
49,5542.180871063852,45.6410495198431,1.0
50,5531.932660989302,46.057405665121934,1.0
