Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
10.730303764343262	0	-0.43710944	0.084276035	-0.28531253	-0.62254745	21.0	0.0	-0.020814737	-0.020814737	-0.020992938	-0.020992938	-0.6951313	0.044054285	0.00030016247	6.1789775e-05	0.69516134	1008	1008
18.12752056121826	1	-0.40998423	0.08901265	-0.21931624	-0.6100367	21.0	0.0	-0.01952306	-0.01952306	-0.019329086	-0.019329086	-0.6902742	0.031045578	0.00023583786	0.00030339853	0.6902977	1008	2016
21.910404205322266	2	-0.42652836	0.081364356	-0.22422682	-0.60681593	21.0	0.0	-0.020310875	-0.020310875	-0.020488365	-0.020488365	-0.6949395	0.03197728	0.00017952449	0.00019786037	0.69495744	1008	3024
25.75013566017151	3	-0.4242073	0.09076942	-0.28352377	-0.6423256	21.0	0.0	-0.020200348	-0.020200348	-0.020335492	-0.020335492	-0.6914737	0.02228402	0.00041321066	0.0005336195	0.69151497	1008	4032
29.540996313095093	4	-0.4288317	0.077454396	-0.25658748	-0.6218264	21.0	0.0	-0.020420557	-0.020420557	-0.02021151	-0.02021151	-0.69223773	0.023900941	0.0003196809	0.00036444026	0.6922697	1008	5040
33.39668536186218	5	-0.42045417	0.08180315	-0.17346483	-0.5760717	21.0	0.0	-0.020021627	-0.020021627	-0.019772438	-0.019772438	-0.6930156	0.016725864	0.00018086232	0.00023341284	0.6930336	1008	6048
37.35609579086304	6	-0.4482542	0.098147236	-0.24438953	-0.6885837	21.0	0.0	-0.021345438	-0.021345438	-0.021367107	-0.021367107	-0.6927234	0.023565687	0.00038277236	0.0006728441	0.69276166	1008	7056
41.4710910320282	7	-0.42366	0.08901106	-0.23506324	-0.6282818	21.0	0.0	-0.020174284	-0.020174284	-0.020060034	-0.020060034	-0.6931375	0.012597664	0.00013096843	0.00018222033	0.69315064	1008	8064
46.01992607116699	8	-0.44106922	0.09133535	-0.25695378	-0.59895706	21.0	0.0	-0.021003295	-0.021003295	-0.021096056	-0.021096056	-0.69436705	0.022365002	0.0009280395	0.0014313319	0.6944599	1008	9072
49.976346015930176	9	-0.42874792	0.101786606	-0.27971593	-0.6979003	21.0	0.0	-0.02041657	-0.02041657	-0.020101367	-0.020101367	-0.6936033	0.027960816	0.0020613435	0.0027107599	0.6938094	1008	10080
53.83801770210266	10	-0.4987053	0.106978856	-0.29726467	-0.74986917	21.0	0.0	-0.023747873	-0.023747873	-0.018426873	-0.018426873	-0.670726	0.21186492	0.22688642	0.26047468	0.6934146	1008	11088
57.700687885284424	11	-0.47278452	0.12575293	-0.16511396	-0.85142154	21.0	0.0	-0.022513548	-0.022513548	-0.022374524	-0.022374524	-0.6952448	0.08000353	0.034589037	0.03953294	0.69870365	1008	12096
61.47160267829895	12	-0.4667343	0.11137859	-0.23960267	-0.7521121	21.0	0.0	-0.022225445	-0.022225445	-0.021779966	-0.021779966	-0.69365776	0.030425124	0.00233816	0.0029844064	0.6938916	1008	13104
65.27044367790222	13	-0.53332084	0.112331934	-0.28341216	-0.8828196	21.0	0.0	-0.02539623	-0.02539623	-0.01738665	-0.01738665	-0.68620694	0.26123282	0.3113671	0.24302037	0.7173436	1008	14112
