iters,mean reward,std reward,pct full rollouts
0,282.07570398378846,67.5000789088546,0.6108695652173913
1,417.7273630150241,88.16542154483977,0.7726315789473684
2,941.4548541105212,603.6694498879183,0.4573378839590444
3,874.7492464692402,264.111158202612,0.7184659090909091
4,2007.7395074202243,1600.1354931023964,0.37281399046104924
5,3114.0747195388817,2179.59495292161,0.4036948748510131
6,6934.830130839262,3693.6450040445134,0.68515
7,9523.794214744248,2245.538416105002,0.92325
8,9474.592130698755,2419.9981738433935,0.9186500000000001
9,10240.951337154575,502.33026363609684,0.9901
