iters,mean reward,std reward,pct full rollouts
0,0.895440094289919,0.950960490299209,0.9424999999999999
1,449.30023591255895,9.923892486620405,0.9475124378109452
2,1084.814736823972,254.54678146481726,0.6913669064748202
3,2625.3293692074803,1487.8932450655661,0.5964499999999999
4,5372.991221876871,56.7527140564512,1.0
5,5507.71999318303,31.60041573041767,1.0
6,5507.820206497234,102.52872861680717,0.9957
7,5530.158295342075,57.24531281134559,1.0
8,5553.387021583449,44.10137510659601,1.0
9,5518.2443137412565,44.63485254238289,1.0
